new_course_id,new_course_name,new_degree_id,old_course_id,old_course_name,old_degree_id,same_degree,credits_old_new,course_type_old_new,requirement_type_old_new,planned_year_old_new,last_old_semester,first_new_semester,enrolment_overlap,new_valid_row_count,diagnostic_conclusion,review_decision,reviewer_name,review_date,review_notes
1178.111,الدارات المنطقية,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,434.111,الدارات المنطقية,21.111|3.111|4.111|5.111|6.111,False,4 → 3,3 → 3,3 → 3,2 → 1,20233,20221,True,567,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1183.111,بنيان الحواسيب1,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,510.111,بنيان الحواسيب,21.111|3.111|4.111|5.111|6.111,False,3 → 3,1 → 3,3 → 3,2 → 2,20233,20221,True,495,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1184.111,الخوارزميات وبنى المعطيات1,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,516.111,الخوارزميات وبنى المعطيات 1,21.111|3.111|4.111|5.111|6.111,False,3 → 3,3 → 3,3 → 3,2 → 2,20233,20221,True,486,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1424.111,اللغة الإنكليزية – 2,40.111|41.111|42.111|44.111|45.111|46.111|47.111|48.111|49.111|50.111|51.111|52.111|53.111|54.111|55.111|56.111|57.111|58.111|59.111|60.111|61.111|64.111|65.111,392.111,اللغة الإنكليزية 2,18.111,False,3 → 3,3 → 1,1 → 1,1 → 1|2,20151,20232,False,471,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1182.111,الإحصاء والاحتمالات,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,504.111,الإحصاء والاحتمالات,21.111|3.111|4.111|5.111|6.111,False,3 → 3,3 → 3,3 → 3,2 → 2,20233,20221,True,378,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1282.111,الاقتصاد الجزئي,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,45.111,الاقتصاد الجزئي,10.111|11.111|12.111|22.111|7.111|8.111|9.111,False,2 → 3,1 → 3,3 → 3,2 → 2,20233,20222,True,373,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1187.111,نظرية الحوسبة,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,521.111,نظرية الحوسبة,3.111|4.111,False,3 → 3,3 → 3,5 → 3,2 → 2,20233,20221,True,371,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1195.111,نظرية المعلومات,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,437.111,نظرية المعلومات,21.111|3.111|4.111|5.111|6.111,False,3 → 3,1 → 1,3 → 3,3 → 3,20233,20221,True,316,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1429.111,علم البيئة,40.111|41.111|42.111|44.111|45.111|46.111|47.111|48.111|49.111|50.111|51.111|52.111|53.111|54.111|55.111|56.111|57.111|58.111|59.111|60.111|61.111|64.111|65.111,1021.111,علم البيئة,1.111|10.111|11.111|12.111|13.111|2.111|21.111|22.111|24.111|25.111|26.111|27.111|29.111|3.111|30.111|31.111|33.111|34.111|35.111|36.111|37.111|38.111|39.111|4.111|5.111|6.111|7.111|8.111|9.111,False,2 → 2,1 → 1,2 → 2,1|2|3|5 → 1|2|3|5,20233,20231,True,308,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1190.111,المعادلات التفاضلية والتحويلات,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,426.111,المعادلات التفاضلية والتحويلات,5.111|6.111,False,3 → 3,3 → 3,5 → 3,2 → 2,20232,20221,True,305,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1373.111,مبادئ الإدارة المالية,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,44.111,مبادئ الإدارة المالية,10.111|11.111|12.111|22.111|7.111|8.111|9.111,False,2 → 3,1 → 3,3 → 3,1 → 2,20233,20222,True,254,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1346.111,بحوث العمليات,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,518.111,بحوث العمليات,21.111|3.111|4.111|5.111|6.111,False,3 → 3,3 → 3,3 → 3,3 → 2,20233,20223,True,190,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1164.111,التحليل العددي,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,503.111,التحليل العددي,21.111|3.111|4.111|5.111|6.111,False,3 → 3,3 → 3,3 → 3,3 → 3,20233,20221,True,185,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1425.111,مدخل الى القانون,40.111|41.111|42.111|44.111|45.111|46.111|47.111|48.111|49.111|50.111|51.111|52.111|53.111|54.111|55.111|56.111|57.111|58.111|59.111|60.111|61.111|64.111|65.111,1019.111,مدخل الى القانون,1.111|10.111|11.111|12.111|13.111|2.111|21.111|22.111|24.111|25.111|26.111|27.111|29.111|3.111|30.111|31.111|33.111|34.111|35.111|36.111|37.111|38.111|39.111|4.111|5.111|6.111|7.111|8.111|9.111,False,2 → 2,1 → 1,2 → 2,1|2|3|4|5 → 1|2|3|4|5,20233,20231,True,185,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1196.111,شبكات الحاسوب,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,466.111,شبكات الحاسوب,3.111|5.111|6.111,False,3 → 3,3 → 3,5|6 → 3,4 → 3,20233,20221,True,149,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1235.111,تصميم المترجمات,26.111|27.111|29.111|46.111|47.111|48.111,523.111,تصميم المترجمات,3.111|4.111,False,3 → 3,3 → 3,5 → 5|6,4 → 3|5,20233,20221,True,140,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1166.111,إدارة المشاريع,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,505.111,إدارة المشاريع,21.111|3.111|4.111|5.111|6.111,False,2 → 2,1 → 1,4 → 4,2|5 → 5,20233,20221,True,112,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1283.111,الاقتصاد الكلي,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,48.111,الاقتصاد الكلي,10.111|11.111|12.111|22.111|7.111|8.111|9.111,False,2 → 3,1 → 3,3 → 3,2 → 2,20233,20223,True,109,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1303.111,المالية العامة,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,59.111,المالية العامة,10.111,False,3 → 3,1 → 1,5 → 3,4 → 2,20232,20222,True,105,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1412.111,نظم المعلومات الإدارية,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,545.111,نظم المعلومات الإدارية,3.111,False,3 → 3,1 → 1,6 → 3,4 → 1,20233,20222,True,91,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1246.111,قواعد البيانات المتقدمة,26.111|27.111|46.111|47.111,533.111,قواعد البيانات المتقدمة,3.111|4.111,False,3 → 3,3 → 3,5|6 → 5,4|5 → 4|5,20233,20221,True,90,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1426.111,علم الاجتماع,40.111|41.111|42.111|44.111|45.111|46.111|47.111|48.111|49.111|50.111|51.111|52.111|53.111|54.111|55.111|56.111|57.111|58.111|59.111|60.111|61.111|64.111|65.111,1018.111,علم اجتماع,1.111|10.111|11.111|12.111|13.111|2.111|21.111|22.111|24.111|25.111|26.111|27.111|29.111|3.111|30.111|31.111|33.111|34.111|35.111|36.111|37.111|38.111|39.111|4.111|5.111|6.111|7.111|8.111|9.111,False,2 → 2,1 → 1,2 → 2,1|2|3|4|5 → 1|2|3|4|5,20233,20231,True,87,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1205.111,معالجة الصور وتحليلها,26.111|27.111|46.111|47.111,451.111,معالجة الصور وتحليلها,3.111|4.111|5.111,False,3 → 3,3 → 3,6 → 5,4|5 → 4,20233,20221,True,55,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1409.111,نظرية المحاسبة,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,24.111,نظرية المحاسبة,11.111,False,3 → 3,1 → 1,5 → 4,4 → 1|2,20233,20232,True,52,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1249.111,نظم المعلومات الإدارية,26.111|27.111|46.111,545.111,نظم المعلومات الإدارية,3.111,False,3 → 3,1 → 3,6 → 6,4 → 5,20233,20231,True,32,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1216.111,الإشارات والنظم,29.111|30.111|31.111|45.111|48.111|49.111,458.111,الإشارات والنظم,5.111|6.111,False,3 → 3,3 → 3,5 → 5,3 → 3,20233,20221,True,27,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1198.111,مشروع فصلي,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,538.111,مشروع  فصلي,3.111,False,3 → 3,3 → 3,5 → 3,4 → 4,20233,20231,True,25,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1324.111,إدارة الجودة,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,72.111,إدارة الجودة,10.111|11.111|12.111|22.111|7.111|8.111|9.111,False,2 → 3,1 → 3,3 → 4,2 → 2,20232,20223,True,25,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1165.111,مهارات التواصل,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,662.111,مهارات التواصل,2.111|41.111,False,2 → 2,1 → 1,3 → 4,3 → 5,20233,20221,True,21,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1252.111,المتحكمات الصغرية والنظم المضمنة,29.111|30.111|31.111|45.111|48.111|49.111,461.111,المتحكمات الصغرية والنظم المضمنة,5.111|6.111,False,3 → 3,3 → 3,5 → 5|6,4 → 4|5,20233,20221,True,14,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1255.111,مدخل إلى الروبوتية,27.111|30.111|45.111|47.111,445.111,مدخل إلى الروبوتية,4.111,False,3 → 3,3 → 3,5 → 5,5 → 4,20232,20222,True,14,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1271.111,برمجة التطبيقات الشبكية,29.111|48.111,417.111,برمجة التطبيقات الشبكية,18.111,False,3 → 3,3 → 3,5 → 5,5 → 4,20152,20231,False,13,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1212.111,معالجة اللغات الطبيعية,27.111|47.111,448.111,معالجة اللغات الطبيعية,4.111,False,3 → 3,3 → 3,6 → 5,4 → 5,20232,20232,True,12,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1214.111,النظم الخبيرة,27.111|47.111,441.111,النظم الخبيرة,3.111|4.111,False,3 → 3,3 → 3,5|6 → 5,5 → 5,20232,20221,True,11,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1299.111,السلوك التنظيمي,33.111|34.111|53.111|54.111,82.111,السلوك التنظيمي,8.111,False,3 → 3,1 → 1,5 → 5,3 → 3|4,20232,20221,True,11,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1378.111,محاسبة المؤسسات المالية والمصرفية,36.111|37.111|52.111|55.111,8.111,محاسبة المؤسسات المالية والمصرفية,10.111|11.111,False,3 → 3,1 → 3,5 → 5,3 → 3|4,20232,20222,True,11,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1318.111,إدارة التغيير,33.111|34.111|53.111|54.111,81.111,إدارة التغيير,8.111,False,3 → 3,1 → 1,5 → 5,3 → 3,20232,20221,True,8,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1167.111,إدارة المؤسسات,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,509.111,إدارة المؤسسات,21.111|3.111|4.111|5.111|6.111,False,2 → 2,1 → 1,4 → 4,1 → 5,20233,20222,True,7,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1386.111,محاسبة مالية خاصة,36.111|55.111,12.111,محاسبة مالية خاصة,11.111,False,3 → 3,1 → 3,5 → 5,4 → 4,20233,20222,True,7,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1403.111,معايير التدقيق الدولية,36.111|55.111,20.111,معايير التدقيق الدولية,11.111,False,3 → 3,1 → 1,6 → 6,4 → 3,20232,20222,True,6,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1291.111,التدقيق الداخلي,36.111|55.111,23.111,التدقيق الداخلي,11.111,False,3 → 3,1 → 1,5 → 5,4 → 4,20233,20233,True,5,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1339.111,إنكليزي الأعمال,34.111|35.111|53.111|56.111,74.111,إنكليزي الأعمال,10.111|11.111|12.111|22.111|7.111|8.111|9.111,False,3 → 3,1 → 1,4 → 6,1 → 3,20233,20233,True,3,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1366.111,رياضيات مالية,37.111|52.111,51.111,رياضيات مالية,10.111,False,3 → 3,1 → 3,5 → 5,3 → 3,20233,20232,True,3,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1430.111,اللغة الانكليزية - 3,40.111|41.111|42.111|44.111|45.111|46.111|47.111|48.111|49.111|50.111|51.111|52.111|53.111|54.111|55.111|56.111|57.111|58.111|59.111|60.111|61.111|64.111|65.111,1015.111,اللغة الانكليزية 3,1.111|10.111|11.111|12.111|13.111|2.111|21.111|22.111|24.111|25.111|26.111|27.111|29.111|3.111|30.111|31.111|33.111|34.111|35.111|36.111|37.111|38.111|39.111|4.111|5.111|6.111|7.111|8.111|9.111,False,2 → 2,1 → 1,2 → 2,2|3|4|5 → 2|3|4|5,20232,20231,True,3,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1300.111,العلاقات العامة,35.111|56.111,100.111,العلاقات العامة,7.111|8.111,False,3 → 3,1 → 1,5 → 5,3|4 → 3,20233,20233,True,2,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1306.111,المصارف الاسلامية,37.111|52.111,53.111,المصارف الاسلامية,10.111,False,3 → 3,1 → 1,5 → 5,3 → 3,20233,20233,True,2,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1419.111,نقود ومصارف,33.111|37.111|52.111|54.111,49.111,نقود ومصارف,10.111,False,3 → 3,1 → 1,5 → 5|6,3 → 3,20232,20232,True,2,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1224.111,الاتصالات الرقمية,31.111|49.111,463.111,الاتصالات الرقمية,5.111|6.111,False,3 → 3,3 → 3,5 → 5,4 → 4,20233,20232,True,1,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1231.111,الاتصالات النقالة واللاسلكية,31.111|49.111,474.111,الاتصالات النقالة واللاسلكية,3.111|6.111,False,3 → 3,3 → 3,6 → 5,5 → 5,20233,20233,True,1,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1277.111,نظم الزمن الحقيقي,29.111|48.111,536.111,نظم الزمن الحقيقي,3.111|5.111|6.111,False,3 → 3,3 → 3,5|6 → 5,4|5 → 5,20233,20232,True,1,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1304.111,المحاسبة الدولية,36.111|55.111,16.111,المحاسبة الدولية,11.111,False,3 → 3,1 → 3,5 → 5,4 → 4,20233,20232,True,1,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1305.111,المحاسبة الضريبية,36.111|55.111,15.111,المحاسبة الضريبية,11.111,False,3 → 3,1 → 3,5 → 5,3 → 4,20231,20231,True,1,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1379.111,محاسبة إدارية,36.111|55.111,7.111,محاسبة إدارية,11.111|12.111,False,3 → 3,1 → 3,5|6 → 5,3|4 → 3,20233,20231,True,1,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1382.111,محاسبة توحيد الأعمال,36.111|55.111,17.111,محاسبة توحيد الأعمال,11.111,False,3 → 3,1 → 3,5 → 5,4 → 4,20233,20223,True,1,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1383.111,محاسبة حكومية ومؤسسات غير ربحية,36.111|55.111,6.111,محاسبة حكومية  ومؤسسات غير ربحية,11.111,False,3 → 3,1 → 3,5 → 5,3 → 3,20232,20223,True,1,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1398.111,مشروع تخرج في المحاسبة والتدقيق,36.111|55.111,25.111,مشروع  تخرج في المحاسبة والتدقيق,11.111,False,4 → 4,3 → 3,5 → 5,4 → 4,20233,20233,True,1,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1402.111,مشكلات محاسبية معاصرة,36.111|55.111,18.111,مشكلات محاسبية معاصرة,11.111,False,3 → 3,1 → 3,6 → 6,4 → 3,20233,20232,True,1,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
